author,count
Pieter Wuille,27
Ava Chow,18
Luke Dashjr,13
Gavin Andresen,12
Matt Corallo,8
BtcDrak,7
Karl-Johan Alm,7
Eric Lombrozo,6
Johnson Lau,6
Mark Friedenbach,6
Amir Taaki,5
Anthony Towns,5
Jonas Schnelli,5
Antoine Poinsot,4
Brandon Black,4
