source,target,count
Completed,Standards Track,53
In Progress,Standards Track,44
Inactive,Standards Track,37
Applications,In Progress,35
Applications,Completed,32
In Progress,Informational,17
Consensus (soft fork),Completed,17
Completed,Informational,16
Applications,Inactive,13
Peer Services,Completed,12
Consensus (soft fork),In Progress,12
Consensus (hard fork),Inactive,11
Peer Services,Inactive,9
Inactive,Informational,8
Consensus (soft fork),Inactive,8
Other,Completed,7
Peer Services,In Progress,7
Other,Inactive,6
Other,In Progress,5
API/RPC,Completed,3
Inactive,Process,2
Completed,Process,2
Consensus (hard fork),In Progress,1
API/RPC,In Progress,1
