word,count
code,3962
tt,3019
bip,2526
0,2119
key,2036
1,1872
sub,1845
bitcoin,1843
transaction,1666
2,1322
pre,1221
block,1221
https,1165
s,1107
script,1066
public,995
com,947
transactions,879
hash,857
version,826
byte,803
bytes,799
output,761
comments,747
use,746
signature,741
message,726
github,712
new,700
data,697
address,677
ref,665
number,643
type,640
keys,635
x,634
mediawiki,630
input,630
size,621
value,604
set,579
payment,556
time,555
32,546
3,517
witness,493
bips,480
m,478
n,455
bit,445
4,440
blocks,440
protocol,436
following,432
wallet,429
org,428
inputs,428
outputs,427
implementation,417
p,411
network,390
peer,380
case,366
path,365
e,364
node,363
master,360
private,353
consensus,351
non,351
string,346
valid,344
return,340
specification,336
derivation,335
signatures,334
b,334
wallets,333
change,332
g,327
standard,327
t,324
order,323
user,321
example,321
index,318
k,317
proposal,313
chain,313
style,312
nodes,312
format,308
bits,308
addresses,307
license,306
messages,289
length,289
defined,286
stack,285
field,284
created,281
uri,281
required,276
possible,275
proof,274
reference,267
single,265
support,264
fork,261
scripts,261
based,260
wiki,256
information,256
list,254
blob,254
status,253
rules,252
sup,252
let,251
psbt,251
author,249
sender,249
different,246
tree,241
compatibility,239
sha256,239
document,237
software,237
clients,237
layer,236
invalid,233
r,233
5,232
allow,231
receiver,231
taproot,231
secret,222
way,221
c,221
hex,221
algorithm,219
allows,219
8,218
request,217
client,217
encoded,217
spend,214
future,213
fee,213
final,209
given,208
existing,206
peers,200
pubkey,200
users,199
applications,199
values,198
motivation,197
server,197
h,197
nonce,197
signing,196
soft,195
specified,195
need,193
result,193
scriptpubkey,193
multiple,192
encoding,192
test,191
instead,191
filter,191
background,191
text,190
color,190
u,189
title,188
summary,188
deployment,188
template,188
signer,188
y,186
id,186
header,184
note,184
abstract,183
height,183
purpose,181
v,181
additional,180
send,179
optional,178
bob,178
process,177
compatible,177
limit,177
types,176
20,176
html,175
policy,175
