id,unique_terms,total_terms
1,632,1496
10,381,597
100,249,589
101,486,985
102,107,153
103,345,562
104,257,460
105,248,403
106,232,509
107,311,586
109,274,475
11,221,391
111,194,337
112,606,1472
113,246,450
114,669,2224
115,342,653
116,515,1083
117,562,1422
118,631,1856
119,1114,3132
12,260,523
120,371,791
121,268,646
122,237,413
123,670,1781
124,247,659
125,370,830
126,274,696
127,458,957
129,686,2466
13,208,342
130,148,256
131,227,439
132,333,729
133,218,357
134,526,1028
135,566,1555
136,692,3679
137,374,868
14,368,642
140,487,1329
141,779,2554
142,329,632
143,656,2176
144,270,487
145,274,563
146,286,798
147,198,369
148,233,455
149,157,280
15,725,1647
150,346,1061
151,444,1006
152,750,2694
154,838,2942
155,352,912
156,549,1538
157,626,1977
158,598,1742
159,160,295
16,389,794
17,319,650
171,421,1221
173,751,2023
174,1169,5823
175,367,998
176,205,353
178,183,362
179,118,201
18,379,792
180,353,877
19,189,362
197,342,1133
199,203,342
2,1054,3182
20,372,840
21,315,559
22,467,1119
23,470,1243
30,227,382
300,661,1724
301,308,671
31,197,277
310,372,1108
32,714,2552
320,213,370
322,392,956
324,1554,5950
325,368,727
326,369,796
327,1270,7366
328,177,310
329,318,727
33,351,596
330,672,1999
331,808,2533
337,323,1065
338,261,539
339,146,286
34,155,242
340,1182,3983
341,1284,4085
342,763,2255
343,243,435
345,1110,3998
347,505,1034
348,313,653
349,218,389
35,121,182
350,810,2558
351,571,1512
352,1174,5011
353,602,1379
36,391,947
37,612,1623
370,519,2486
371,408,1467
372,374,774
373,297,1010
374,271,857
379,747,3379
38,907,2679
380,492,1737
381,161,527
382,155,538
383,222,581
384,148,321
385,112,301
386,202,567
387,198,502
388,771,2820
389,232,821
39,297,525
390,213,635
42,316,410
43,158,236
431,803,2748
44,242,664
45,311,871
46,488,1103
47,652,2231
48,230,705
49,234,502
50,369,653
52,962,2220
60,248,413
61,226,425
62,432,1081
64,273,455
65,524,1090
66,345,856
67,275,560
68,459,1335
69,474,995
70,538,1446
71,73,126
72,138,252
73,189,411
74,263,520
75,760,2629
78,813,3183
79,482,955
8,562,1427
80,169,286
81,162,278
83,258,536
84,200,419
85,679,1935
86,224,460
87,407,1211
88,456,1271
9,516,1211
90,296,609
91,297,649
93,903,3211
94,458,1020
98,703,1928
99,717,1556
