word,count
code,4636
tt,3422
bip,3314
0,2489
key,2384
1,2346
bitcoin,2202
sub,2200
transaction,1960
2,1589
pre,1409
s,1363
block,1352
https,1321
script,1293
public,1069
byte,1034
bytes,1033
com,1013
output,1010
transactions,1003
hash,945
version,904
use,868
data,861
new,840
input,839
signature,833
ref,819
message,794
x,768
address,760
mediawiki,740
keys,731
value,723
number,696
size,693
3,667
type,660
payment,656
github,655
32,645
set,634
witness,629
time,607
outputs,573
specification,557
p,537
n,534
m,530
inputs,526
org,525
b,522
wallet,498
4,495
bips,488
following,487
protocol,476
bit,476
implementation,468
length,452
blocks,449
g,448
e,443
t,433
case,431
stack,421
proposal,419
bits,417
path,416
peer,415
non,410
string,401
network,395
master,384
consensus,378
private,378
valid,378
index,378
license,377
node,375
k,374
user,371
psbt,366
derivation,362
wallets,359
return,356
signatures,356
format,348
standard,346
let,346
example,342
chain,336
order,331
change,328
field,328
addresses,327
messages,327
nodes,319
proof,318
spend,315
style,314
defined,312
scripts,309
sup,306
single,302
taproot,301
tree,298
sender,296
rules,289
blob,288
possible,286
required,285
receiver,284
list,277
support,277
8,277
c,269
r,267
fork,264
based,261
sha256,261
different,259
5,259
encoded,259
information,257
invalid,251
request,247
fee,247
future,241
signing,241
reference,240
signer,240
hex,239
values,238
header,237
fail,237
clients,236
software,235
secret,235
allow,226
bsd,225
clause,224
users,221
merkle,220
test,219
algorithm,218
existing,218
allows,216
client,215
y,214
encoding,213
funds,210
descriptor,210
document,208
v,207
height,205
pubkey,205
peers,204
nonce,203
template,202
h,202
soft,201
server,201
64,200
process,199
multiple,199
limit,199
optional,198
spending,198
original,197
pk,196
instead,195
scriptpubkey,195
comments,193
way,193
deployment,191
id,191
text,190
implementations,190
given,190
checksum,190
color,189
point,188
u,187
filter,187
background,186
additional,185
integer,184
compatibility,183
specified,181
policy,181
recovery,180
types,179
extended,178
need,176
second,176
bob,176
segwit,173
sent,172
