word,count
code,4412
tt,3362
bip,2568
0,2259
key,2240
1,2034
bitcoin,1924
sub,1846
transaction,1803
2,1425
pre,1363
block,1293
script,1181
s,1132
https,1111
public,1059
transactions,953
byte,938
output,921
bytes,918
hash,886
version,870
com,859
data,840
use,825
ref,784
signature,764
new,756
message,751
address,743
input,712
mediawiki,702
keys,698
number,664
type,663
payment,662
size,647
value,644
set,614
32,606
github,598
time,589
witness,585
3,555
m,524
outputs,521
p,511
specification,499
wallet,485
x,473
following,470
inputs,469
org,465
bit,462
4,453
protocol,452
n,452
blocks,450
implementation,433
path,433
case,414
network,409
string,399
e,394
private,390
peer,383
g,381
node,375
t,370
valid,370
user,366
index,366
consensus,365
master,365
return,365
standard,363
wallets,359
non,357
signatures,357
chain,356
proposal,354
derivation,353
change,350
let,348
bips,347
order,347
b,346
bits,342
example,340
format,338
license,332
addresses,332
k,330
proof,328
nodes,322
defined,315
style,312
tree,307
spend,305
field,301
length,301
possible,295
messages,291
required,290
single,285
rules,282
support,282
taproot,282
sup,280
stack,280
scripts,278
information,275
reference,271
based,270
psbt,269
fork,268
invalid,267
blob,266
different,263
status,262
r,262
list,260
compatibility,255
sender,253
hex,250
document,249
allow,248
future,248
layer,246
clients,246
allows,244
encoded,244
software,243
c,243
sha256,241
secret,241
algorithm,237
5,236
8,234
receiver,233
way,232
fee,230
request,229
values,229
users,227
pubkey,225
signing,223
client,222
existing,221
authors,220
fail,217
applications,216
test,215
given,214
signer,214
assigned,210
merkle,209
nonce,209
need,208
multiple,207
encoding,207
peers,206
funds,206
motivation,205
optional,205
instead,205
specified,204
scriptpubkey,204
deployment,203
height,201
server,201
note,200
soft,200
integer,199
title,197
policy,197
template,195
id,194
64,194
result,193
background,193
pk,193
abstract,192
text,191
limit,191
filter,191
v,191
color,190
point,189
header,188
provided,188
second,188
extended,188
types,185
additional,185
long,185
bsd,185
comments,184
clause,184
pay,184
