source,target,value
10,39,1
11,15,1
11,16,1
13,10,1
15,11,1
15,14,1
16,11,1
17,10,1
19,21,1
21,10,1
21,11,1
21,39,1
22,10,1
22,21,1
22,39,1
23,10,1
23,39,1
24,21,1
24,44,1
25,10,1
25,44,1
48,44,1
77,21,1
132,32,1
