source,target,count
Draft,Optional,81
Other,Draft,67
Relay,Draft,16
Other,Final,8
Final,Optional,5
Final,Mandatory,4
Other,Unknown Status,4
Unknown Status,Optional,3
Unknown Status,Unknown Type,2
Draft,Mandatory,1
Relay,Final,1
Relay,Unknown Status,1
Draft,Unknown Type,1
