id,unique_terms,total_terms
01,192,884
02,49,158
03,24,69
04,60,159
05,86,376
06,18,51
07,34,118
08,27,75
09,32,160
10,44,247
11,209,772
12,2,4
13,57,208
14,12,34
15,196,1020
16,2,4
17,100,426
18,24,91
19,61,201
20,2,4
21,5,16
22,80,491
23,45,130
24,32,99
25,56,219
26,66,252
27,60,219
28,77,354
29,163,843
30,33,145
31,18,53
32,78,342
33,3,6
34,111,546
35,66,210
36,16,53
37,34,115
38,35,114
39,51,183
40,26,96
42,68,315
44,274,1273
45,27,105
46,137,701
47,206,1364
48,29,93
49,81,274
50,43,153
51,136,524
52,168,1004
53,87,302
54,101,394
55,137,1409
56,40,123
57,171,957
58,76,350
59,128,642
60,100,540
61,90,485
64,222,727
65,43,201
68,90,255
69,74,236
70,45,136
71,88,437
72,70,352
73,54,203
75,42,158
78,18,51
7D,13,33
84,25,79
86,44,230
89,85,434
90,147,820
92,30,96
94,51,165
96,187,1071
98,32,97
99,65,193
C7,7,20
