id,status,compliance_score,bip2_score,bip3_score
0,Accepted,85.71,,
10,Draft,85.71,,
11,Draft,85.71,,
12,Draft,85.71,,
13,Draft,85.71,,
14,Draft,85.71,,
15,Draft,85.71,,
16,Draft,85.71,,
17,Draft,85.71,,
19,Draft,85.71,,
20,Draft,85.71,,
21,Draft,85.71,,
22,Draft,85.71,,
23,Draft,85.71,,
32,Draft,85.71,,
39,Draft,85.71,,
44,Draft,85.71,,
48,Draft,85.71,,
77,Draft,85.71,,
132,Draft,85.71,,
173,Draft,85.71,,
