id,unique_terms,total_terms
0,11,29
10,126,1321
11,99,377
12,15,35
13,81,244
132,89,441
14,57,217
15,123,490
16,118,486
17,63,180
173,60,239
19,261,1460
20,11,27
21,112,549
22,221,1123
23,135,756
32,52,239
39,494,3652
44,735,3526
48,135,692
77,61,215
