author,degree,betweenness,closeness,eigenvector
Pieter Wuille,0.09316770186335403,0.06048136645962733,0.13720496894409936,0.5511518361494987
Antoine Poinsot,0.043478260869565216,0.02406832298136646,0.11627539741025371,0.2996775388999817
Ava Chow,0.037267080745341616,0.013354037267080746,0.11064916850330594,0.2877165558848776
Andrew Poelstra,0.03105590062111801,0.0035714285714285718,0.10803540861740109,0.2695581831627411
Sanket Kanjalkar,0.024844720496894408,0.0,0.10719138198757763,0.2617062123829985
Tim Ruffing,0.03105590062111801,0.0019021739130434783,0.09870861075115063,0.2198861138527703
Jonas Schnelli,0.03105590062111801,0.006987577639751553,0.09870861075115063,0.192978388723591
Peter Todd,0.03105590062111801,0.009394409937888199,0.10473661751457967,0.19258379912150117
Jonas Nick,0.024844720496894408,0.0019021739130434783,0.09870861075115063,0.18461338535111094
Dhruv Mehta,0.018633540372670808,0.0,0.09730848861283643,0.1791693257320271
Rusty Russell,0.024844720496894408,0.0035714285714285718,0.10088600657654366,0.17608426779279085
Greg Maxwell,0.018633540372670808,0.0,0.10014961236795576,0.17095510232187422
Eric Lombrozo,0.03105590062111801,0.027173913043478264,0.10803540861740109,0.15058195646299327
Anthony Towns,0.024844720496894408,0.010403726708074535,0.09942389053920245,0.1470909007144023
Johnson Lau,0.012422360248447204,0.0,0.10088600657654366,0.13042224017897308
Gleb Naumenko,0.006211180124223602,0.0,0.09397600612609547,0.10243550746182532
Matt Corallo,0.03105590062111801,0.01420807453416149,0.09208387177456334,0.10220831536814781
josibake,0.024844720496894408,0.0034161490683229817,0.0831545266327875,0.08297919216218361
Andrew Toth,0.024844720496894408,0.0034161490683229817,0.0831545266327875,0.08297919216218361
Elliott Jin,0.012422360248447204,0.0,0.07622498274672188,0.07517912261434362
Steven Roose,0.018633540372670808,0.010248447204968944,0.0873916999643945,0.071146535259711
Gregory Sanders,0.012422360248447204,0.0,0.08575310559006212,0.06892030421414794
Mark Friedenbach,0.037267080745341616,0.014984472049689442,0.08575310559006212,0.051134741687752845
Leon Olsson Curr and Pearlwort Sneed,0.006211180124223602,0.0,0.07930923060352564,0.050099314692790504
BtcDrak,0.03105590062111801,0.004736024844720497,0.0841748275730671,0.049507120703499496
