author,degree,betweenness,closeness,eigenvector
fiatjaf,0.1764705882352941,0.024955436720142603,0.17647058823529413,0.6646230595697196
Jon Staab,0.058823529411764705,0.0,0.10588235294117647,0.3952916825197148
Paul Miller,0.058823529411764705,0.0,0.10588235294117647,0.3952916825197148
Semisol,0.029411764705882353,0.0,0.0962566844919786,0.2478735363797077
fiatjaf_,0.029411764705882353,0.0,0.0962566844919786,0.2478735363797077
monlovesmango,0.029411764705882353,0.0,0.0962566844919786,0.2478735363797077
Pablo Fernandez,0.029411764705882353,0.0,0.0962566844919786,0.2478735363797077
Robert C. Martin,0.0,0.0,0.0,6.597236220902661e-08
William Casarin,0.0,0.0,0.0,6.597236220902661e-08
Jeff Thibault,0.0,0.0,0.0,6.597236220902661e-08
Mark Harding,0.0,0.0,0.0,6.597236220902661e-08
Ricardo Arturo Cabral Mejía,0.0,0.0,0.0,6.597236220902661e-08
Christopher David,0.0,0.0,0.0,6.597236220902661e-08
Alex Gleason,0.0,0.0,0.0,6.597236220902661e-08
Jonathan Staab,0.0,0.0,0.0,6.597236220902661e-08
Michael Dilger,0.0,0.0,0.0,6.597236220902661e-08
Fernando López Guevara,0.0,0.0,0.0,6.597236220902661e-08
Vitor Pamplona,0.0,0.0,0.0,6.597236220902661e-08
pseudozach,0.0,0.0,0.0,6.597236220902661e-08
Thomas,0.0,0.0,0.0,6.597236220902661e-08
Marco Argentieri,0.0,0.0,0.0,6.597236220902661e-08
Artur Brugeman,0.0,0.0,0.0,6.597236220902661e-08
Terry Yiu,0.0,0.0,0.0,6.597236220902661e-08
theborakompanioni,0.0,0.0,0.0,6.597236220902661e-08
Mike Dilger,0.0,0.0,0.0,6.597236220902661e-08
Francisco Calderón,0.0,0.0,0.0,6.597236220902661e-08
zmeyer44,0.0,0.0,0.0,6.597236220902661e-08
Oscar Merry,0.0,0.0,0.0,6.597236220902661e-08
Alejandro,0.0,0.0,0.0,6.597236220902661e-08
hodlbod,0.0,0.0,0.0,6.597236220902661e-08
pablof7z,0.0,0.0,0.0,6.597236220902661e-08
frbittencourt,0.0,0.0,0.0,6.597236220902661e-08
arthurfranca,0.0,0.0,0.0,6.597236220902661e-08
Kieran,0.0,0.0,0.0,6.597236220902661e-08
Jeff Gardner,0.0,0.0,0.0,6.597236220902661e-08
