id,status,compliance_score,bip2_score,bip3_score
0,Accepted,85.71,,
10,Final,85.71,,
11,Final,85.71,,
12,Draft,85.71,,
13,Final,85.71,,
14,Active,85.71,,
15,Final,85.71,,
16,Final,85.71,,
17,Final,85.71,,
19,Accepted,85.71,,
20,Draft,85.71,,
21,Final,85.71,,
22,Final,85.71,,
23,Final,85.71,,
24,Draft,85.71,,
25,Draft,85.71,,
32,Draft,85.71,,
39,Final,85.71,,
44,Active,85.71,,
48,Active,85.71,,
77,Draft,85.71,,
132,Active,85.71,,
173,Active,85.71,,
