author,degree,betweenness,closeness,eigenvector
Pieter Wuille,0.10416666666666666,0.05040792540792541,0.13717532467532464,0.5577683722354763
Ava Chow,0.041666666666666664,0.013597513597513598,0.10778061224489795,0.2856838440198004
Antoine Poinsot,0.034722222222222224,0.009226884226884226,0.10889175257731959,0.27485185327613026
Andrew Poelstra,0.034722222222222224,0.003690753690753691,0.10457920792079207,0.2672385193027866
Sanket Kanjalkar,0.027777777777777776,0.0,0.10355392156862743,0.2593513991943116
Tim Ruffing,0.034722222222222224,0.0019263144263144262,0.09780092592592592,0.22616948526704336
Jonas Schnelli,0.034722222222222224,0.007187257187257187,0.09780092592592592,0.19824566801655605
Peter Todd,0.034722222222222224,0.010003885003885004,0.10457920792079207,0.19447466935920577
Jonas Nick,0.027777777777777776,0.002007252007252007,0.09690366972477064,0.19042981985403046
Dhruv Mehta,0.020833333333333332,0.0,0.09602272727272727,0.183849037670727
Gregory Maxwell,0.020833333333333332,0.0,0.09871495327102803,0.17323460453828493
Rusty Russell,0.020833333333333332,0.0,0.09871495327102803,0.17323460453828493
Eric Lombrozo,0.034722222222222224,0.022225459725459727,0.10889175257731959,0.15902405016454413
Anthony Towns,0.027777777777777776,0.006912069412069411,0.10355392156862743,0.15542170159074456
Johnson Lau,0.013888888888888888,0.0,0.09964622641509432,0.13417207033509107
Gleb Naumenko,0.006944444444444444,0.0,0.0918478260869565,0.10440531307472899
Matt Corallo,0.034722222222222224,0.01418026418026418,0.08729338842975205,0.09830910421189938
josibake,0.027777777777777776,0.0034965034965034965,0.0806297709923664,0.08350462021430446
Andrew Toth,0.027777777777777776,0.0034965034965034965,0.0806297709923664,0.08350462021430445
Elliott Jin,0.013888888888888888,0.0,0.0743838028169014,0.07798072290036132
Mark Friedenbach,0.041666666666666664,0.013824138824138825,0.08802083333333333,0.06497572825650591
BtcDrak,0.034722222222222224,0.0033346283346283347,0.08587398373983739,0.06287714691644401
Karl-Johan Alm,0.020833333333333332,0.0019263144263144262,0.08518145161290322,0.05302446740497344
Leon Olsson Curr and Pearlwort Sneed,0.006944444444444444,0.0,0.07598920863309351,0.050022774080232785
Велеслав,0.013888888888888888,0.0,0.07284482758620689,0.045654141017339785
Daniel Pape,0.013888888888888888,0.0,0.07284482758620689,0.045654141017339785
Ruben Somsen,0.020833333333333332,0.0,0.06324850299401197,0.038460681083279616
Sebastian Falbesoner,0.020833333333333332,0.0,0.06324850299401197,0.038460681083279616
David A. Harding,0.006944444444444444,0.0,0.07598920863309351,0.03640254584205851
William Swanson,0.006944444444444444,0.0,0.07824074074074072,0.02976675726036208
Nicolas Dorier,0.020833333333333332,0.0,0.06770833333333333,0.029443332865820116
kinoshitajona,0.020833333333333332,0.0,0.06770833333333333,0.029443332865820116
Christian Decker,0.006944444444444444,0.0,0.07544642857142857,0.02909245525728416
Mike Hearn,0.013888888888888888,0.003690753690753691,0.06727707006369427,0.01907006507793415
Nils Schneider,0.006944444444444444,0.0,0.06643081761006289,0.018401891025485208
Bastien Teinturier,0.006944444444444444,0.0,0.06643081761006289,0.018401891025485208
Thomas Kerin,0.020833333333333332,0.007187257187257187,0.06858766233766232,0.01330991018510087
Gavin Andresen,0.006944444444444444,0.0,0.05416666666666667,0.0035696109961154436
Jean-Pierre Rupp,0.013888888888888888,0.0,0.05530104712041884,0.003065149027458181
Ruben de Vries,0.013888888888888888,0.0,0.05530104712041884,0.003065149027458181
Brad Denby,0.034722222222222224,0.0,0.034722222222222224,0.0004192287332273889
Andrew Miller,0.034722222222222224,0.0,0.034722222222222224,0.0004192287332273889
Giulia Fanti,0.034722222222222224,0.0,0.034722222222222224,0.0004192287332273889
Surya Bakshi,0.034722222222222224,0.0,0.034722222222222224,0.0004192287332273889
Shaileshh Bojja Venkatakrishnan,0.034722222222222224,0.0,0.034722222222222224,0.0004192287332273889
Pramod Viswanath,0.034722222222222224,0.0,0.034722222222222224,0.0004192287332273889
Hugo Nguyen,0.027777777777777776,0.0,0.027777777777777776,4.731188346063402e-13
Peter Gray,0.027777777777777776,0.0,0.027777777777777776,4.731188346063402e-13
Marko Bencun,0.027777777777777776,0.0,0.027777777777777776,4.731188346063402e-13
Aaron Chen,0.027777777777777776,0.0,0.027777777777777776,4.731188346063402e-13
Rodolfo Novak,0.027777777777777776,0.0,0.027777777777777776,4.731188346063402e-13
Aaron Voisine,0.048611111111111105,0.0018453768453768455,0.04938271604938271,3.0684666902661796e-15
Sean Bowe,0.027777777777777776,0.0006798756798756799,0.037037037037037035,1.9073567748920535e-15
Marek Palatinus,0.020833333333333332,0.0,0.03418803418803419,1.800933866198414e-15
Pavol Rusnak,0.020833333333333332,0.0,0.03418803418803419,1.800933866198414e-15
Justin Newton,0.020833333333333332,0.0,0.031746031746031744,1.7405662173615828e-15
Matt David,0.020833333333333332,0.0,0.031746031746031744,1.7405662173615828e-15
James MacWhyte,0.020833333333333332,0.0,0.031746031746031744,1.7405662173615828e-15
