author,count
Pieter Wuille,27
Ava Chow,18
Luke Dashjr,13
Gavin Andresen,12
BtcDrak,7
Karl-Johan Alm,7
Matt Corallo,7
Eric Lombrozo,6
Johnson Lau,6
Mark Friedenbach,6
Amir Taaki,5
Anthony Towns,5
Jonas Schnelli,5
Brandon Black,4
Jonas Nick,4
