source,target,count
Other,Draft,66
Draft,Optional,65
Other,Final,8
Other,Unknown Status,6
Final,Optional,4
Final,Mandatory,4
Unknown Status,Optional,3
Unknown Status,Unknown Type,3
Draft,Mandatory,1
