author,count
Pieter Wuille,16
Pavol Rusnak,15
Luke Dashjr,13
Gavin Andresen,12
Marek Palatinus,7
BtcDrak,7
Mark Friedenbach,6
Eric Lombrozo,6
Johnson Lau,6
Amir Taaki,5
Peter Todd,4
Matt Corallo,4
Mike Hearn,4
Jonas Schnelli,4
Karl-Johan Alm,4
