source,target,count
Other,Final,10
Final,Standard,10
Other,Draft,6
Draft,Standard,6
Other,Active,5
Active,Standard,4
Other,Accepted,2
Accepted,Informational,1
Active,Informational,1
Accepted,Standard,1
