author,degree,betweenness,closeness,eigenvector
fiatjaf,0.1794871794871795,0.026990553306342778,0.1794871794871795,0.6731338153821774
Jon Staab,0.05128205128205128,0.0,0.1047008547008547,0.3651544741425988
Paul Miller,0.05128205128205128,0.0,0.1047008547008547,0.3651544741425988
Semisol,0.02564102564102564,0.0,0.09664694280078895,0.2367341490433156
Alex Gleason,0.02564102564102564,0.0,0.09664694280078895,0.2367341490433156
fiatjaf_,0.02564102564102564,0.0,0.09664694280078895,0.2367341490433156
monlovesmango,0.02564102564102564,0.0,0.09664694280078895,0.2367341490433156
Pablo Fernandez,0.02564102564102564,0.0,0.09664694280078895,0.2367341490433156
Robert C. Martin,0.0,0.0,0.0,9.679990157165142e-09
William Casarin,0.0,0.0,0.0,9.679990157165142e-09
Jeff Thibault,0.0,0.0,0.0,9.679990157165142e-09
Mark Harding,0.0,0.0,0.0,9.679990157165142e-09
Ricardo Arturo Cabral Mejía,0.0,0.0,0.0,9.679990157165142e-09
Christopher David,0.0,0.0,0.0,9.679990157165142e-09
Jonathan Staab,0.0,0.0,0.0,9.679990157165142e-09
Michael Dilger,0.0,0.0,0.0,9.679990157165142e-09
Fernando López Guevara,0.0,0.0,0.0,9.679990157165142e-09
Vitor Pamplona,0.0,0.0,0.0,9.679990157165142e-09
pseudozach,0.0,0.0,0.0,9.679990157165142e-09
Thomas,0.0,0.0,0.0,9.679990157165142e-09
hodlbod,0.0,0.0,0.0,9.679990157165142e-09
Marco Argentieri,0.0,0.0,0.0,9.679990157165142e-09
Artur Brugeman,0.0,0.0,0.0,9.679990157165142e-09
Terry Yiu,0.0,0.0,0.0,9.679990157165142e-09
hzrd149,0.0,0.0,0.0,9.679990157165142e-09
theborakompanioni,0.0,0.0,0.0,9.679990157165142e-09
Mike Dilger,0.0,0.0,0.0,9.679990157165142e-09
Sandwich,0.0,0.0,0.0,9.679990157165142e-09
Francisco Calderón,0.0,0.0,0.0,9.679990157165142e-09
zmeyer44,0.0,0.0,0.0,9.679990157165142e-09
Oscar Merry,0.0,0.0,0.0,9.679990157165142e-09
Alejandro,0.0,0.0,0.0,9.679990157165142e-09
benthecarman,0.0,0.0,0.0,9.679990157165142e-09
pablof7z,0.0,0.0,0.0,9.679990157165142e-09
frbittencourt,0.0,0.0,0.0,9.679990157165142e-09
arthurfranca,0.0,0.0,0.0,9.679990157165142e-09
Kieran,0.0,0.0,0.0,9.679990157165142e-09
Jeff Gardner,0.0,0.0,0.0,9.679990157165142e-09
Fabian,0.0,0.0,0.0,9.679990157165142e-09
KoalaSat,0.0,0.0,0.0,9.679990157165142e-09
