author,count
Pieter Wuille,16
Luke Dashjr,13
Gavin Andresen,12
BtcDrak,7
Karl-Johan Alm,7
Eric Lombrozo,6
Johnson Lau,6
Mark Friedenbach,6
Amir Taaki,5
Jonas Schnelli,4
Matt Corallo,4
Mike Hearn,4
Pavol Rusnak,4
Peter Todd,4
Aaron Voisine,3
