source,target,count
Completed,Standards Track,58
Inactive,Standards Track,41
In Progress,Standards Track,37
Applications,In Progress,34
Applications,Completed,33
In Progress,Informational,18
Consensus (soft fork),Completed,17
Completed,Informational,16
Peer Services,Completed,16
Applications,Inactive,15
Consensus (soft fork),In Progress,11
Consensus (hard fork),Inactive,11
Peer Services,Inactive,10
Consensus (soft fork),Inactive,9
Inactive,Informational,8
Other,Completed,7
Other,Inactive,6
Other,In Progress,6
API/RPC,Completed,3
Inactive,Process,2
Completed,Process,2
Peer Services,In Progress,2
Consensus (hard fork),In Progress,1
API/RPC,In Progress,1
