id,unique_terms,total_terms
1,632,1496
10,380,597
100,249,589
101,486,985
102,107,153
103,345,562
104,257,460
105,248,403
106,232,509
107,311,586
109,274,475
11,221,391
111,195,337
112,607,1474
113,246,450
114,669,2224
115,342,653
116,517,1099
117,562,1422
118,631,1856
119,1089,3141
12,260,523
120,371,791
121,268,646
122,237,413
123,670,1781
124,247,659
125,370,830
126,274,696
127,458,957
129,686,2466
13,208,342
130,148,256
131,226,438
132,333,729
133,218,357
134,526,1028
135,566,1555
136,692,3679
137,374,868
14,368,642
140,487,1329
141,779,2554
142,329,632
143,656,2176
144,270,487
145,274,563
146,286,798
147,198,369
148,233,455
149,157,280
15,725,1647
150,346,1061
151,444,1006
152,750,2694
154,842,2948
155,360,952
156,549,1538
157,626,1979
158,597,1745
159,173,343
16,389,795
17,319,650
171,421,1221
172,373,755
173,751,2023
174,1203,6088
175,362,979
176,205,353
177,452,982
178,183,362
179,118,201
18,379,792
180,353,877
19,189,362
197,343,1133
199,203,342
2,1052,3180
20,372,840
21,326,585
22,467,1119
23,470,1243
30,227,382
300,663,1724
301,308,671
31,197,277
310,372,1108
32,714,2553
320,213,370
321,478,1305
322,392,956
324,1554,5950
325,388,767
326,369,796
327,1270,7366
328,192,378
329,472,1102
33,351,596
330,672,1999
331,808,2533
337,323,1065
338,261,539
339,146,286
34,155,242
340,1185,4018
341,1293,4119
342,763,2255
343,243,435
345,1114,4012
347,505,1040
35,121,182
350,810,2558
351,571,1512
352,1182,5078
353,660,1670
36,391,947
37,612,1623
370,519,2486
371,407,1467
372,373,792
373,650,2510
374,284,900
375,311,1246
38,907,2679
380,492,1748
381,161,529
382,156,540
383,232,592
384,149,323
385,113,303
386,203,569
387,199,504
388,780,2859
389,233,823
39,301,532
390,232,740
42,316,410
43,158,236
431,803,2748
44,242,664
443,624,1939
45,311,871
46,488,1103
47,652,2231
48,225,693
49,234,502
50,369,653
52,962,2220
53,470,1272
60,248,413
61,226,425
62,431,1080
64,273,455
65,524,1090
66,345,856
67,276,560
68,460,1337
69,475,996
70,539,1447
71,73,126
72,138,252
73,189,411
74,263,520
75,758,2629
78,811,3112
79,482,956
8,562,1427
80,169,286
81,162,278
83,258,536
84,200,419
85,693,2008
86,224,460
87,407,1211
88,456,1271
9,516,1211
90,296,609
91,297,649
93,943,3514
94,439,957
98,703,1928
99,713,1558
