author,degree,betweenness,closeness,eigenvector
Andrew Miller,0.05,0.0,0.05,0.40824826209823906
Brad Denby,0.05,0.0,0.05,0.40824826209823906
Giulia Fanti,0.05,0.0,0.05,0.40824826209823906
Surya Bakshi,0.05,0.0,0.05,0.40824826209823906
Shaileshh Bojja Venkatakrishnan,0.05,0.0,0.05,0.40824826209823906
Pramod Viswanath,0.05,0.0,0.05,0.40824826209823906
Pieter Wuille,0.12,0.1009090909090909,0.17279999999999998,0.00020977068053942334
Tim Ruffing,0.05,0.00393939393939394,0.1258252427184466,0.0001175648955171436
Jonas Schnelli,0.05,0.013737373737373737,0.1258252427184466,0.00010239376628540611
Jonas Nick,0.04,0.0036363636363636364,0.12461538461538461,9.589782438896273e-05
Dhruv Mehta,0.03,0.0,0.12342857142857143,9.245453887751576e-05
Peter Todd,0.05,0.03737373737373737,0.135,8.936854334575451e-05
Greg Maxwell,0.03,0.0,0.12705882352941178,8.200072676759696e-05
Rusty Russell,0.03,0.0,0.12705882352941178,8.200072676759696e-05
Eric Lombrozo,0.05,0.05070707070707071,0.1424175824175824,7.926056891487235e-05
Anthony Towns,0.04,0.013939393939393939,0.12461538461538461,7.247253612293556e-05
Johnson Lau,0.02,0.0,0.1296,6.218391032800757e-05
Ava Chow,0.03,0.02585858585858586,0.12705882352941178,5.428623287490511e-05
Elliott Jin,0.02,0.0,0.09671641791044776,4.592564526522838e-05
Gleb Naumenko,0.01,0.0,0.11781818181818181,4.513131785137376e-05
Mark Friedenbach,0.06,0.02898989898989899,0.11469026548672566,4.0574376000437845e-05
BtcDrak,0.05,0.00898989898989899,0.11172413793103449,3.882211847279157e-05
Велеслав,0.02,0.0,0.0945985401459854,2.806841290427191e-05
Daniel Pape,0.02,0.0,0.0945985401459854,2.806841290427191e-05
Matt Corallo,0.04,0.026868686868686868,0.10536585365853658,2.2386196981884504e-05
Nicolas Dorier,0.03,0.0,0.08876712328767122,2.1764348269361128e-05
kinoshitajona,0.03,0.0,0.08876712328767122,2.1764348269361128e-05
josibake,0.04,0.006666666666666666,0.09818181818181818,2.1276054480530297e-05
Andrew Toth,0.04,0.006666666666666666,0.09818181818181818,2.1276054480530297e-05
David A. Harding,0.01,0.0,0.09893129770992366,1.9227282503347125e-05
Kalle Alm,0.02,0.0,0.08816326530612244,1.708183631366139e-05
William Swanson,0.01,0.0,0.10285714285714284,1.705259247663382e-05
Christian Decker,0.01,0.0,0.09323741007194244,1.559217453482092e-05
Karl-Johan Alm,0.01,0.0,0.09323741007194244,1.559217453482092e-05
Ruben Somsen,0.03,0.0,0.07854545454545454,1.1664481223758369e-05
Sebastian Falbesoner,0.03,0.0,0.07854545454545454,1.1664481223758369e-05
Thomas Kerin,0.03,0.013737373737373737,0.09,9.896762752642712e-06
Mike Hearn,0.02,0.007070707070707071,0.08307692307692308,5.050056147970498e-06
Nils Schneider,0.01,0.0,0.0820253164556962,4.8163002039873236e-06
Bastien Teinturier,0.01,0.0,0.0820253164556962,4.8163002039873236e-06
Jean-Pierre Rupp,0.02,0.0,0.07280898876404494,2.7129231928635308e-06
Ruben de Vries,0.02,0.0,0.07280898876404494,2.7129231928635308e-06
Gavin Andresen,0.01,0.0,0.06785340314136125,1.0864992600260142e-06
Hugo Nguyen,0.04,0.0,0.04,3.3538983662121393e-12
Peter Gray,0.04,0.0,0.04,3.3538983662121393e-12
